window_start,window_end,sent_pkts,sent_bytes,recv_pkts,recv_bytes,avg_delay_ms,jitter_ms,DestinationRecvDataPkts,DestinationRecvDataBytes,throughput_bps,goodput_bps,ETX,PDR,LossRate
113.5,114.0,462,142482,235,142482,1.919,1.976,124.0,71424.0,2279712,1142784,3.726,0.268,0.732
114.0,114.5,473,152688,236,152688,1.924,2.068,116.0,66816.0,2443008,1069056,4.078,0.245,0.755
114.5,115.0,448,148262,208,148262,2.053,2.113,78.0,44928.0,2372192,718848,5.744,0.174,0.826
115.0,115.5,388,119180,189,119180,2.164,1.927,139.0,80064.0,1906880,1281024,2.791,0.358,0.642
115.5,116.0,427,125942,222,125942,1.734,1.797,160.0,92160.0,2015072,1474560,2.669,0.375,0.625
116.0,116.5,388,106032,217,106032,1.857,2.005,68.0,39168.0,1696512,626688,5.706,0.175,0.825
116.5,117.0,582,161808,319,161808,1.223,1.077,133.0,76608.0,2588928,1225728,4.376,0.229,0.771
117.0,117.5,424,115764,247,115764,1.777,1.928,76.0,43776.0,1852224,700416,5.579,0.179,0.821
117.5,118.0,573,165210,299,165210,2.548,1.526,60.0,34560.0,2643360,552960,9.55,0.105,0.895
118.0,118.5,652,189760,327,189760,2.428,1.28,72.0,41472.0,3036160,663552,9.056,0.11,0.89
118.5,119.0,602,174242,307,174242,2.668,1.377,64.0,36864.0,2787872,589824,9.406,0.106,0.894
119.0,119.5,275,63038,183,63038,1.148,1.22,5.0,2880.0,1008608,46080,55.0,0.018,0.982
119.5,120.0,660,167836,405,167836,0.504,0.501,243.0,139968.0,2685376,2239488,2.716,0.368,0.632
120.0,120.5,616,172374,345,172374,1.078,1.18,116.0,66816.0,2757984,1069056,5.31,0.188,0.812
120.5,121.0,543,159026,281,159026,1.395,1.33,93.0,53568.0,2544416,857088,5.839,0.171,0.829
121.0,121.5,537,175348,251,175348,1.689,1.786,134.0,77184.0,2805568,1234944,4.007,0.25,0.75
121.5,122.0,472,166154,204,166154,2.034,2.028,83.0,47808.0,2658464,764928,5.687,0.176,0.824
122.0,122.5,365,91696,220,91696,2.027,2.076,16.0,9216.0,1467136,147456,22.812,0.044,0.956
122.5,123.0,596,146048,373,146048,1.153,1.524,68.0,39168.0,2336768,626688,8.765,0.114,0.886
123.0,123.5,497,149082,254,149082,1.358,1.608,158.0,91008.0,2385312,1456128,3.146,0.318,0.682
123.5,124.0,380,113986,192,113986,2.026,2.032,94.0,54144.0,1823776,866304,4.043,0.247,0.753
124.0,124.5,365,104090,197,104090,2.218,1.919,74.0,42624.0,1665440,681984,4.932,0.203,0.797
124.5,125.0,372,109692,186,109692,2.231,1.922,79.0,45504.0,1755072,728064,4.709,0.212,0.788
